scenario,model,ensemble,warming_level,year
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1939
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1940
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1941
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1942
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1943
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1944
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1945
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1946
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1947
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1948
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1949
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1965
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1966
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1967
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1968
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1969
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1970
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1971
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1972
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1973
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1974
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1975
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1976
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1977
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1978
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1979
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1980
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1981
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1982
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1983
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1984
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1985
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1986
ssp119,EC-Earth3-Veg,r1i1p1f1,0.84,1987
